Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
ARRIVENT BIOPHARMA INC,AVBP,04272N102,BMGTLY5,0.273477,-,783863.000,USD,,,,
CYTOMX THERAPEUTICS INC,CTMX,23284F105,BYWVTY5,0.270374,-,5043819.000,USD,,,,
KALVISTA PHARMACEUTICALS INC,KALV,483497103,BD06CS0,0.263729,-,1205277.000,USD,,,,
COMPASS THERAPEUTICS INC,CMPX,20454B104,BMF7DQ6,0.243132,-,4120147.000,USD,,,,
SAVARA INC,SVRA,805111101,BYXGN81,0.236342,-,3974728.000,USD,,,,
CULLINAN THERAPEUTICS INC,CGEM,230031106,BM90J52,0.234082,-,1461736.000,USD,,,,
ZENAS BIOPHARMA INC,ZBIO,98937L105,BQB42H3,0.233232,-,1013230.000,USD,,,,
XENCOR INC,XNCR,98401F105,BGCYWN8,0.225825,-,1590222.000,USD,,,,
SIONNA THERAPEUTICS INC,SION,829401108,BQKXDX4,0.219241,-,465855.000,USD,,,,
ABSCI CORP,ABSI,00091E109,BN94K69,0.218890,-,4983822.000,USD,,,,
ARS PHARMACEUTICALS INC,SPRY,82835W108,BMCR7V2,0.218498,-,2474756.000,USD,,,,
IRONWOOD PHARMACEUTICALS INC,IRWD,46333X108,B3MZ6K5,0.205361,-,4480474.000,USD,,,,
BICARA THERAPEUTICS INC,BCAX,055477103,BQB42F1,0.204578,-,786068.000,USD,,,,
PRIME MEDICINE INC,PRME,74168J101,BPBJFM7,0.191320,-,4458987.000,USD,,,,
ALTIMMUNE INC,ALT,02155H200,BFY7DC4,0.186898,-,4866899.000,USD,,,,
VOR BIOPHARMA INC,VOR,929033207,BRJJYT3,0.178457,-,1044600.000,USD,,,,
HYPERLIQUID STRATEGIES,PURR,44916Y106,BVLJ392,0.174443,-,2746471.000,USD,,,,
4D MOLECULAR THERAPEUTICS IN,FDMT,35104E100,BKLXFX5,0.162313,-,1476743.000,USD,,,,
EMERGENT BIOSOLUTIONS INC,EBS,29089Q105,B1HJLW5,0.158754,-,1762125.000,USD,,,,
REGENXBIO INC,RGNX,75901B107,BZ0G875,0.156760,-,1527985.000,USD,,,,
VERASTEM INC,VSTM,92337C203,BRK1S18,0.153780,-,2257079.000,USD,,,,
ALLOGENE THERAPEUTICS INC,ALLO,019770106,BFZNYB7,0.152578,-,5839881.000,USD,,,,
LEXEO THERAPEUTICS INC,LXEO,52886X107,BQ6C357,0.147821,-,2086832.000,USD,,,,
VANDA PHARMACEUTICALS INC,VNDA,921659108,B12W3P6,0.145773,-,1909181.000,USD,,,,
MYRIAD GENETICS INC,MYGN,62855J104,2614153,0.136003,-,2420196.000,USD,,,,
PROTHENA CORP PLC,PRTA,G72800108,B91XRN2,0.132381,-,1101698.000,USD,,,,
ARBUTUS BIOPHARMA CORP,ABUS,03879J100,BZ0QMB7,0.126766,-,2540973.000,USD,,,,
ROCKET PHARMACEUTICALS INC,RCKT,77313F106,BDFKQ07,0.120386,-,2920757.000,USD,,,,
ANAVEX LIFE SCIENCES CORP,AVXL,032797300,BYTYP72,0.117188,-,2973158.000,USD,,,,
OCUGEN INC,OCGN,67577C105,BK71M09,0.116634,-,5851302.000,USD,,,,
INVIVYD INC,IVVD,00534A102,BM8NHS1,0.113435,-,6335083.000,USD,,,,
FIRST TRACKS BIOTHERAPEUTICS,TRAX,337185102,BS2CR64,0.109637,-,572675.000,USD,,,,
AKEBIA THERAPEUTICS INC,AKBA,00972D105,BKKMP44,0.107434,-,6765852.000,USD,,,,
